Ref,Val,Package,PosX,PosY,Rot,Side
D28,D_Small,D_SOD-123,-274.761525,-59.63974,90,bottom
D29,D_Small,D_SOD-123,-293.861525,-59.63974,90,bottom
D30,D_Small,D_SOD-123,-317.661525,-59.63974,90,bottom
D31,D_Small,D_SOD-123,-15.711525,-57.48974,90,bottom
D32,D_Small,D_SOD-123,-41.811525,-78.68974,90,bottom
D33,D_Small,D_SOD-123,-68.011525,-78.68974,90,bottom
D34,D_Small,D_SOD-123,-87.311525,-80.33974,78,bottom
D35,D_Small,D_SOD-123,-105.961525,-84.28974,78,bottom
D36,D_Small,D_SOD-123,-124.561525,-88.23974,78,bottom
D37,D_Small,D_SOD-123,-143.211525,-92.18974,78,bottom
D38,D_Small,D_SOD-123,-189.111525,-88.73974,102,bottom
D39,D_Small,D_SOD-123,-207.811525,-84.78974,102,bottom
D40,D_Small,D_SOD-123,-226.461525,-80.83974,102,bottom
D41,D_Small,D_SOD-123,-245.061525,-76.83974,102,bottom
D42,D_Small,D_SOD-123,-264.811525,-78.68974,90,bottom
D43,D_Small,D_SOD-123,-283.811525,-78.68974,90,bottom
D44,D_Small,D_SOD-123,-314.761525,-78.68974,90,bottom
D45,D_Small,D_SOD-123,-11.611525,-76.53974,90,bottom
D46,D_Small,D_SOD-123,-32.836525,-97.73974,90,bottom
D47,D_Small,D_SOD-123,-73.311525,-97.73974,90,bottom
D48,D_Small,D_SOD-123,-92.661525,-100.93974,78,bottom
D49,D_Small,D_SOD-123,-111.311525,-104.83974,78,bottom
D50,D_Small,D_SOD-123,-129.911525,-108.83974,78,bottom
D51,D_Small,D_SOD-123,-148.611525,-112.78974,78,bottom
D52,D_Small,D_SOD-123,-183.861525,-109.33974,102,bottom
D53,D_Small,D_SOD-123,-202.461525,-105.38974,102,bottom
D54,D_Small,D_SOD-123,-221.061525,-101.43974,102,bottom
D55,D_Small,D_SOD-123,-239.711525,-97.43974,102,bottom
D56,D_Small,D_SOD-123,-259.411525,-97.73974,90,bottom
D57,D_Small,D_SOD-123,-278.511525,-97.73974,90,bottom
D58,D_Small,D_SOD-123,-314.261525,-97.73974,90,bottom
D59,D_Small,D_SOD-123,-328.911525,-97.73974,90,bottom
D60,D_Small,D_SOD-123,-35.211525,-116.78974,90,bottom
D61,D_Small,D_SOD-123,-54.261525,-97.73974,90,bottom
D62,D_Small,D_SOD-123,-87.886525,-120.91474,78,bottom
D63,D_Small,D_SOD-123,-121.111525,-126.43974,78,bottom
D64,D_Small,D_SOD-123,-153.686525,-133.38974,78,bottom
D65,D_Small,D_SOD-123,-204.111525,-124.51474,102,bottom
D66,D_Small,D_SOD-123,-244.536525,-117.46474,102,bottom
D67,D_Small,D_SOD-123,-322.411525,-116.83974,90,bottom
D68,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-188.8,-29.05,180,bottom
D69,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-227.671425,-28.9,180,bottom
D70,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-281.03571,-28.9,180,bottom
D71,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-324.4,-28.9,180,bottom
D72,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-324.6,-54.9,180,bottom
D73,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-325.4,-80.9,180,bottom
D74,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-94.1,-122.15,78,bottom
D75,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-142.05,-133.3,-12,bottom
D76,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-191.95,-130.9,102,bottom
D77,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-227.8,-123.25,102,bottom
D78,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-280.271426,-116.8,90,bottom
D79,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-326.1,-106.9,180,bottom
D83,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-51.2,-116.98,90,bottom
D84,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-0.81,-115.34,90,bottom
D85,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-1,-84.033332,0,bottom
D86,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1.3,-56.466666,0,bottom
D87,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,0.15,-28.9,-90,bottom
D88,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-46.214285,-28.9,180,bottom
D93,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-138.942855,-28.9,180,bottom
D94,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-92.57857,-28.9,180,bottom
F1,500m,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,-158.901525,-36.67974,90,bottom
R1,10k,R_0603_1608Metric,-149.461525,-87.58974,-45,bottom
R2,22,R_0603_1608Metric,-158.561525,-76.50224,-90,bottom
R3,22,R_0603_1608Metric,-160.161524,-76.50224,90,bottom
R4,5.1k,R_0603_1608Metric,-168.169112,-30.14974,0,bottom
R5,5.1k,R_0603_1608Metric,-157.294112,-30.14974,180,bottom
R6,10k,R_0603_1608Metric,-182.95,-31.65,90,bottom
SW1,SW_Push,SW_SPST_SKQG_WithStem,-184.85,-37.5,90,bottom
U1,ATmega32U4-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.15x5.15mm,-156.33719,-85.871926,-135,bottom
U2,PRTR5V0U2X,SOT143B,-162.731612,-32.86474,180,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,-162.731612,-17.984741,0,bottom
Y1,CLK,Crystal_SMD_3225-4Pin_3.2x2.5mm,-162.262635,-90.80974,45,bottom
